GeneName	C1_normalize_thefile1	T1_normalize_thefile1	T2_normalize_thefile2	T3_normalize_thefile3
ENSG00000043143_JADE2	294.5977327	181.8100632	275.7488681	184.1800204
ENSG00000044115_CTNNA1	681.9037245	926.9673413	693.0335428	626.709693
ENSG00000044574_HSPA5	5714.391521	1996.709221	980.8006567	2452.040921
ENSG00000046604_DSG2	497.0618441	659.9531181	461.053449	337.9694487
ENSG00000047315_POLR2B	164.0272161	112.1077807	192.1801355	204.9143424
ENSG00000047410_TPR	422.4227567	447.8694607	421.6447825	141.3488352
ENSG00000047457_CP	111.8628582	129.575476	163.2245479	17.47607141
ENSG00000047849_MAP4	369.4283661	484.2090069	353.1687307	261.2524573
ENSG00000047932_GOPC	174.0514563	94.19075566	98.71731219	61.90676143
ENSG00000048052_HDAC9	21.64469687	125.3630093	56.12241304	103.3161645
ENSG00000048544_MRPS10	107.2019058	63.58016422	96.36956184	74.99900475
ENSG00000048649_RSF1	100.8170394	220.9017543	97.26394293	68.60098539
ENSG00000048707_VPS13D	119.5246978	90.53995117	104.9779798	59.47788371
ENSG00000048828_FAM120A	387.0505972	244.7162328	345.4546938	181.9881063
ENSG00000048991_R3HDM1	113.9698641	67.28713493	107.3816289	48.39983166
ENSG00000049130_KITLG	287.8297744	258.2522925	140.4178302	94.72623112
ENSG00000049245_VAMP3	117.2261459	127.4973258	139.8029433	121.2069224
ENSG00000049449_RCN1	132.6136738	96.2689059	105.9282597	98.63613184
ENSG00000049656_CLPTM1L	185.480367	131.4851276	195.5899634	239.5110397
ENSG00000049759_NEDD4L	73.80905483	149.1213216	74.56902291	68.48250355
ENSG00000049860_HEXB	77.57612596	100.5937051	136.8403059	131.870288
ENSG00000050405_LIMA1	170.5397798	708.4245683	231.0857127	233.7646704
ENSG00000050820_BCAR1	74.25599547	93.90992454	95.25158549	122.2732589
ENSG00000051108_HERPUD1	622.9075596	80.71086218	40.30304761	210.8976753
ENSG00000051596_THOC3	104.8395052	116.4325799	128.1759892	116.1122033
ENSG00000052126_PLEKHA5	57.27225102	101.7170295	68.30835532	34.8929019
ENSG00000052802_MSMO1	172.0721477	200.0640857	169.317519	128.0196282
ENSG00000052841_TTC17	118.4392705	124.9136795	107.1021349	115.1051076
ENSG00000053747_LAMA3	151.0659375	364.1256225	273.7365106	242.8877721
ENSG00000054118_THRAP3	209.8067077	235.5611385	270.8856709	225.5301825
ENSG00000054654_SYNE2	426.5090711	523.4130304	466.866926	165.5783715
ENSG00000054793_ATP9A	113.3952261	83.96850311	69.64992695	47.21501326
ENSG00000055044_NOP58	223.598019	150.6378096	199.2233865	172.0356318
ENSG00000055070_SZRD1	104.0733213	152.5474612	144.6102416	194.2509768
ENSG00000055208_TAB2	205.6565446	236.2351332	162.9450538	134.1214429
ENSG00000055332_EIF2AK2	156.7484685	124.0711862	146.7902955	121.0884405
ENSG00000055483_USP36	72.14898958	107.2213194	72.66846311	118.4818401
ENSG00000055609_KMT2C	80.1300725	100.7060375	85.80468528	83.05576988
ENSG00000055917_PUM2	179.2870467	195.3461229	219.7941515	215.3407443
ENSG00000056097_ZFR	231.6429506	181.3607335	205.9871435	227.4851329
ENSG00000056586_RC3H2	113.9698641	113.1187727	108.7790994	145.1402541
ENSG00000057019_DCBLD2	57.33609968	95.59491123	147.2933848	235.0087297
ENSG00000057149_SERPINB3	17.43068509	9.660590324	117.3316185	4.976237282
ENSG00000057294_PKP2	60.84777617	212.3083222	109.9529746	72.15544059
ENSG00000057608_GDI2	225.9604196	189.1678384	221.9183066	183.8245748
ENSG00000058063_ATP11B	110.5220362	126.9356636	118.9526842	84.41831104
ENSG00000058085_LAMC2	201.1871382	821.26251	489.6177449	677.1829568
ENSG00000058262_SEC61A1	454.7301803	182.4278917	271.4446591	501.4151471
ENSG00000058272_PPP1R12A	117.6092379	161.6463893	112.5243202	82.58184252
